                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0027,                 2.0796,                 1.2152,                0.34048,                0.51285,                0.35441,                0.27104,                 1.0682,                 56.339,                 1.2988,             0.00018299,             0.00018299,             0.00018299
                      2,                 1.0285,                 2.0881,                 1.2283,                0.33105,                0.49754,                0.37297,                0.27502,                 1.0739,                 53.674,                 1.3258,             0.00035617,             0.00035617,             0.00035617
                      3,                 1.0795,                  2.126,                 1.2608,                0.34952,                0.51441,                0.38651,                0.30721,                 1.0521,                 60.572,                 1.3269,             0.00051711,             0.00051711,             0.00051711
                      4,                 1.0613,                 2.0907,                 1.2411,                0.31126,                0.40223,                0.30884,                0.22386,                  1.166,                  53.83,                 1.3886,             0.00050096,             0.00050096,             0.00050096
                      5,                 1.0608,                 2.0914,                 1.2388,                0.33568,                0.48908,                0.37373,                0.23602,                 1.3445,                 66.062,                 1.5267,             0.00050096,             0.00050096,             0.00050096
                      6,                 1.0564,                 2.1227,                 1.2393,                0.36996,                0.46703,                0.35036,                0.27187,                 1.0919,                 60.555,                 1.3326,             0.00048261,             0.00048261,             0.00048261
                      7,                 1.0316,                 2.0972,                 1.2351,                0.31362,                0.48534,                0.39251,                0.28445,                 1.1337,                 66.292,                 1.3784,             0.00046426,             0.00046426,             0.00046426
                      8,                 1.0125,                 2.0623,                 1.2168,                0.34256,                 0.4941,                0.34108,                0.23463,                 1.2399,                 52.818,                 1.4647,             0.00044591,             0.00044591,             0.00044591
                      9,                 1.0277,                  2.088,                 1.2308,                0.36917,                 0.5116,                0.36305,                0.25218,                 1.1595,                 46.978,                 1.3839,             0.00042756,             0.00042756,             0.00042756
                     10,                 1.0082,                 2.0653,                 1.2166,                0.44182,                0.40358,                0.34953,                0.24828,                 1.1724,                 58.632,                 1.3923,             0.00040922,             0.00040922,             0.00040922
                     11,                0.99369,                 2.0572,                 1.2084,                0.40504,                0.39831,                0.35738,                0.26785,                  1.116,                 52.634,                 1.3358,             0.00039087,             0.00039087,             0.00039087
                     12,                0.98281,                   2.06,                 1.1983,                0.40006,                 0.4815,                0.36835,                0.27239,                 1.1212,                 57.247,                  1.393,             0.00037252,             0.00037252,             0.00037252
                     13,                0.99067,                 2.0258,                 1.2019,                0.32653,                 0.5013,                0.33327,                0.23692,                 1.1173,                 58.294,                  1.382,             0.00035417,             0.00035417,             0.00035417
                     14,                0.97404,                 2.0295,                  1.191,                 0.3552,                0.46729,                0.34333,                0.26281,                 1.0687,                 58.956,                 1.3332,             0.00033582,             0.00033582,             0.00033582
